utc,tweetid,user,text
2020-05-06T02:46:33.000Z,1257864300204441600,dokonjo2020,RT @sakiaoi11 : 次の東京都知事に相応しいのは誰だと思いますか⁉️今回はこの4名です☺️#アンケート調査 #拡散希望 #相互フォロー#東京都知事 #選挙へいこう #政治 #野党統一 #野党共闘　#拡散希望RTお願いします#小池百合子 #桜井誠 #前川喜平 #山本太郎
2020-05-06T02:42:58.000Z,1257863396147392513,support_butcher,RT @iminnhantai : 何度でも言う、テレビで善人として取り上げられる政治家にロクな奴はいない。現在のテレビで例を挙げれば、　＃小池百合子　知事　と大阪の　＃吉村知事　だ。　両者の政策は竹中平蔵と同じであり、政治家としては、　＃橋下徹　の劣化版でしかない。いい加減に政策を調べて自分の頭で考えよう。 https://t.co/x6YuFzWpVn
2020-05-06T02:41:53.000Z,1257863123316293637,egN7YjL9V6czIJl,RT @tBMvr9uJ6WAi8Wm : #緊急事態宣言 #小池百合子 #落選させよう 拡散希望！緊急事態宣言の延長は都民が悪い？？？東京を衰退させる小池都知事の黒幕は一体ダレ？都知事選でこの人を再選させてはいけない！東京が死にます‼️#jrptv #実践実学大学 #美しい色気 #miwCH https://t.co/EHhNjbVcQ7
2020-05-06T02:34:58.000Z,1257861385129615360,Kg7CJfbGmDD4EeP,RT @hana_hana2023 : @DBwiSVhVvoU9IuA @toshioo_7 失礼します。最近の #小池百合子 も酷すぎて笑ってしまいますね。このバカ丸出しの #安倍晋三 の姿がハッキリと映しだされ、おまけに #デキ会見 とバレてしまう情けない動画！https://t.co/0XqVNDrdIM
2020-05-06T02:34:55.000Z,1257861371082883073,purema01,RT @MIWMIWMIW88RT : @llln0852 @tBMvr9uJ6WAi8Wm 大賛成‼️ab◯友大嘘タヌキが再選されたら東京が死ぬ＝日本が死ぬ‼️残り2ヶ月で落選させる動き=リアルでも訴え拡散を‼️総裁、#miwch メンバー私達は下記動画でも小池叩き中#緊急事態宣言 #小池百合子 #JRP #実践実学大学https://t.co/XefrNCf46rhttps://t.co/qbeD3EfMOjhttps://t.co/MBthbt0NQl
2020-05-06T02:34:18.000Z,1257861214790545409,h_y_d_e,昔から場の空気読むのだけには長けているんだよな。医療崩壊を招きながら”火消し役”に化けた!?「コロナのたぬき」小池都知事の変わり身の早さ#小池百合子 #緑のたぬき #コロナのたぬき https://t.co/4NHHnaoogR
2020-05-06T02:33:57.000Z,1257861129776193536,MARINA_GA__,RT @ruandLisa : 欅坂の菅井友香を送ろうとして小池百合子を送ってしまった男の末路。#欅坂46 #小池百合子 #LINE誤爆 https://t.co/SFymUzz7Ho
2020-05-06T02:33:18.000Z,1257860963941797889,ruandLisa,欅坂の菅井友香を送ろうとして小池百合子を送ってしまった男の末路。#欅坂46 #小池百合子 #LINE誤爆 https://t.co/SFymUzz7Ho
2020-05-06T02:28:44.000Z,1257859816032067584,Runa0180,RT @MIWMIWMIW88RT : @llln0852 @tBMvr9uJ6WAi8Wm 大賛成‼️ab◯友大嘘タヌキが再選されたら東京が死ぬ＝日本が死ぬ‼️残り2ヶ月で落選させる動き=リアルでも訴え拡散を‼️総裁、#miwch メンバー私達は下記動画でも小池叩き中#緊急事態宣言 #小池百合子 #JRP #実践実学大学https://t.co/XefrNCf46rhttps://t.co/qbeD3EfMOjhttps://t.co/MBthbt0NQl
2020-05-06T02:25:37.000Z,1257859032594825216,ZaHCXDIYgLygBYe,RT @MIWMIWMIW88RT : @llln0852 @tBMvr9uJ6WAi8Wm 大賛成‼️ab◯友大嘘タヌキが再選されたら東京が死ぬ＝日本が死ぬ‼️残り2ヶ月で落選させる動き=リアルでも訴え拡散を‼️総裁、#miwch メンバー私達は下記動画でも小池叩き中#緊急事態宣言 #小池百合子 #JRP #実践実学大学https://t.co/XefrNCf46rhttps://t.co/qbeD3EfMOjhttps://t.co/MBthbt0NQl
2020-05-06T02:22:53.000Z,1257858341985910785,JQfwfcIiPZsTDdr,RT @hana_hana2023 : @DBwiSVhVvoU9IuA @toshioo_7 失礼します。最近の #小池百合子 も酷すぎて笑ってしまいますね。このバカ丸出しの #安倍晋三 の姿がハッキリと映しだされ、おまけに #デキ会見 とバレてしまう情けない動画！https://t.co/0XqVNDrdIM
2020-05-06T02:22:13.000Z,1257858174247268352,tkfm_k,RT @MIWMIWMIW88RT : @llln0852 @tBMvr9uJ6WAi8Wm 大賛成‼️ab◯友大嘘タヌキが再選されたら東京が死ぬ＝日本が死ぬ‼️残り2ヶ月で落選させる動き=リアルでも訴え拡散を‼️総裁、#miwch メンバー私達は下記動画でも小池叩き中#緊急事態宣言 #小池百合子 #JRP #実践実学大学https://t.co/XefrNCf46rhttps://t.co/qbeD3EfMOjhttps://t.co/MBthbt0NQl
2020-05-06T02:20:50.000Z,1257857827797741569,orute710,RT @hana_hana2023 : @DBwiSVhVvoU9IuA @toshioo_7 失礼します。最近の #小池百合子 も酷すぎて笑ってしまいますね。このバカ丸出しの #安倍晋三 の姿がハッキリと映しだされ、おまけに #デキ会見 とバレてしまう情けない動画！https://t.co/0XqVNDrdIM
2020-05-06T02:18:37.000Z,1257857271196815361,Kei017686542,RT @MIWMIWMIW88RT : @llln0852 @tBMvr9uJ6WAi8Wm 大賛成‼️ab◯友大嘘タヌキが再選されたら東京が死ぬ＝日本が死ぬ‼️残り2ヶ月で落選させる動き=リアルでも訴え拡散を‼️総裁、#miwch メンバー私達は下記動画でも小池叩き中#緊急事態宣言 #小池百合子 #JRP #実践実学大学https://t.co/XefrNCf46rhttps://t.co/qbeD3EfMOjhttps://t.co/MBthbt0NQl
2020-05-06T02:18:04.000Z,1257857129685254144,MIWMIWMIW88RT,RT @MIWMIWMIW88RT : @llln0852 @tBMvr9uJ6WAi8Wm 大賛成‼️ab◯友大嘘タヌキが再選されたら東京が死ぬ＝日本が死ぬ‼️残り2ヶ月で落選させる動き=リアルでも訴え拡散を‼️総裁、#miwch メンバー私達は下記動画でも小池叩き中#緊急事態宣言 #小池百合子 #JRP #実践実学大学https://t.co/XefrNCf46rhttps://t.co/qbeD3EfMOjhttps://t.co/MBthbt0NQl
2020-05-06T02:13:50.000Z,1257856065409970176,tBMvr9uJ6WAi8Wm,RT @MIWMIWMIW88RT : @llln0852 @tBMvr9uJ6WAi8Wm 大賛成‼️ab◯友大嘘タヌキが再選されたら東京が死ぬ＝日本が死ぬ‼️残り2ヶ月で落選させる動き=リアルでも訴え拡散を‼️総裁、#miwch メンバー私達は下記動画でも小池叩き中#緊急事態宣言 #小池百合子 #JRP #実践実学大学https://t.co/XefrNCf46rhttps://t.co/qbeD3EfMOjhttps://t.co/MBthbt0NQl
2020-05-06T02:13:33.000Z,1257855992596848640,qYncuEwGjpjUO6H,RT @tBMvr9uJ6WAi8Wm : #緊急事態宣言 #小池百合子 #落選させよう 拡散希望！緊急事態宣言の延長は都民が悪い？？？東京を衰退させる小池都知事の黒幕は一体ダレ？都知事選でこの人を再選させてはいけない！東京が死にます‼️#jrptv #実践実学大学 #美しい色気 #miwCH https://t.co/EHhNjbVcQ7
